id,u,v,x1,x2,y
501,0.5,10,0.009373205,0.844289522,3.624995146
502,1,10,0.983223643,0.702809415,5.883498273
503,1.5,10,0.568145968,0.20618636,4.287319686
504,2,10,0.755833589,0.917192023,6.442310078
505,2.5,10,0.097780678,0.441362595,2.250438852
506,3,10,0.946014077,0.779715936,4.851324098
507,3.5,10,0.767575133,0.166277868,3.079060762
508,4,10,0.922601995,0.3271999,4.439702052
509,4.5,10,0.245550549,0.003911075,2.538876362
510,5,10,0.569721527,0.135334049,3.930139604
511,5.5,10,0.318721852,0.173948051,3.84640703
512,6,10,0.404192704,0.366516822,5.040751241
513,6.5,10,0.388325293,0.20871077,4.112642912
514,7,10,0.895638133,0.303452619,4.760791356
515,7.5,10,0.024241027,0.487144309,3.348399962
516,8,10,0.524515338,0.998976845,4.888057664
517,8.5,10,0.930693291,0.570368271,4.507037881
518,9,10,0.17337325,0.372996267,2.632848406
519,9.5,10,0.420807103,0.955106905,5.733531552
520,10,10,0.791452937,0.191430248,4.51415676
521,10.5,10,0.98796397,0.001042992,5.151963196
522,11,10,0.883006482,0.188375005,6.172580524
523,11.5,10,0.360902351,0.162244913,3.271914617
524,12,10,0.321770115,0.490596922,3.982851772
525,0,10.5,0.547776152,0.64613689,2.779471245
526,0.5,10.5,0.967425159,0.210558775,4.2574525
527,1,10.5,0.355590653,0.087571888,3.558373194
528,1.5,10.5,0.614096127,0.742460665,5.151906741
529,2,10.5,0.929921145,0.725828116,5.698555487
530,2.5,10.5,0.438174933,0.938598545,5.473347292
531,3,10.5,0.957950386,0.014775456,3.30437948
532,3.5,10.5,0.742829465,0.718617471,4.776627546
533,4,10.5,0.465113451,0.851424559,3.75200524
534,4.5,10.5,0.481978148,0.58269728,3.97515251
535,5,10.5,0.419320417,0.637481914,4.866383996
536,5.5,10.5,0.891055555,0.680095555,6.150332756
537,6,10.5,0.399794582,0.009154159,4.019061898
538,6.5,10.5,0.472688505,0.502036143,4.57233541
539,7,10.5,0.819536325,0.195029827,3.564393891
540,7.5,10.5,0.467689719,0.852543249,4.651971528
541,8,10.5,0.359847341,0.07925111,1.794921392
542,8.5,10.5,1,0.201873296,3.566081317
543,9,10.5,0.859400741,0.30495259,4.697968254
544,9.5,10.5,0.452433694,0.44921348,3.532043887
545,10,10.5,0.443310369,0.278496679,4.447848783
546,10.5,10.5,0.814606107,0.142435258,5.568184553
547,11,10.5,0.846586381,0.620064643,4.57728101
548,11.5,10.5,0.784865925,0.515102424,5.258582827
549,12,10.5,0.227059024,0.162587984,1.908997483
550,0,11,0.505994492,0.505259352,2.035850549
551,0.5,11,0.580356465,0.867421774,3.11869323
552,1,11,0.807629957,0.655388566,4.771923298
553,1.5,11,0.09298601,0.946484653,3.860979871
554,2,11,0.572298043,0.545448681,4.810557096
555,2.5,11,0.48734306,0.858902286,5.209252881
556,3,11,0.622165279,0.487147008,4.587528527
557,3.5,11,0.526418696,0.982924592,3.686192105
558,4,11,0.198501484,0.952871712,3.346215986
559,4.5,11,0.667703084,0.656163878,3.577181353
560,5,11,0.551886573,0.956984965,3.957019578
561,5.5,11,0.343225634,0.656802984,5.186773257
562,6,11,0.403296072,0.444919692,5.010214578
563,6.5,11,0.408420048,0.120138598,3.81141861
564,7,11,0.793259074,0.170960277,4.258058844
565,7.5,11,0.557565877,0.928157827,4.469135469
566,8,11,0.830485884,0.413186237,4.012075495
567,8.5,11,0.895488007,0.944564909,5.56272412
568,9,11,0.351366593,0.275091445,3.520058715
569,9.5,11,0.938238211,0.643410995,5.564479581
570,10,11,0.579471743,0.641370869,4.945001723
571,10.5,11,0.129095299,0.964071939,4.527845229
572,11,11,0.511862179,0.438618038,4.069992267
573,11.5,11,0.628113299,0.522096263,3.000634867
574,12,11,0.541379968,0.779044159,3.510274743
575,0,11.5,0.521911996,0.880757038,3.358601526
576,0.5,11.5,0.257077953,0.678993081,2.823866901
577,1,11.5,0.964259085,0.419254012,3.441902751
578,1.5,11.5,0.329168628,0.979489767,3.505698915
579,2,11.5,0.123117148,0.573714884,3.81778918
580,2.5,11.5,0.1281847,0.406921335,4.333711404
581,3,11.5,0.176259047,0.658892062,3.363073338
582,3.5,11.5,0.538831251,0.524608521,3.101815928
583,4,11.5,0.212019024,0.128606674,1.907022323
584,4.5,11.5,0.104416665,0.128221578,1.627451906
585,5,11.5,0.185740484,0.092575057,2.119825747
586,5.5,11.5,0.904986637,0.799125254,5.187573852
587,6,11.5,0.108594459,0.600568005,4.526495933
588,6.5,11.5,0.018006644,0.222697628,3.199332531
589,7,11.5,0.026622499,0.402221494,2.502085677
590,7.5,11.5,0.760342269,0.586336902,3.658768599
591,8,11.5,0.361738562,0.55358032,3.089946102
592,8.5,11.5,0.121771702,0.617636817,2.573296491
593,9,11.5,0.714855426,0.055551348,3.826289291
594,9.5,11.5,0.260094351,0.240020847,3.847635256
595,10,11.5,0.432169115,0.664633243,4.666263792
596,10.5,11.5,0.447252393,0.854600386,3.699198084
597,11,11.5,0.289648709,0.122016626,2.246912231
598,11.5,11.5,0.22167976,0.615744295,2.196029352
599,12,11.5,0.016419534,0.625294821,2.365323404
600,0,12,0.462232371,0.490021139,3.943223782
601,0.5,12,0.043135984,0.931827444,2.627929815
602,1,12,0.812838277,0.102325726,2.348446438
603,1.5,12,0.318834856,0.654895267,2.618262131
604,2,12,0.602204108,0.428934108,4.572230817
605,2.5,12,0.805727927,0.608419483,6.169200619
606,3,12,0.047826895,0.029666078,3.205680875
607,3.5,12,0.941611533,0.627484888,6.072980244
608,4,12,0.506338064,0.973627807,2.870961289
609,4.5,12,0.305632932,0.386814847,1.993918664
610,5,12,0.665021015,0.596043074,3.14097218
611,5.5,12,0.833240299,0.013631583,4.695036093
612,6,12,0.939731365,0.348459223,4.96685926
613,6.5,12,0.558127581,0.794501797,5.183101194
614,7,12,0.065545397,0.920844903,3.632567553
615,7.5,12,0.871819685,0.121248508,3.253786655
616,8,12,0.922814857,0.55267766,2.549960768
617,8.5,12,0.746621521,0.648375723,4.40440265
618,9,12,0.334495419,0.930841491,5.611345858
619,9.5,12,0.270547417,0.824494591,3.407457727
620,10,12,0.753266218,0.29811746,4.374270256
621,10.5,12,0.545090802,0.963122748,4.22092089
622,11,12,0.015637061,0.010520117,0.51947064
623,11.5,12,0.35264677,0.444586743,3.147800306
624,12,12,0.360385522,0.236455,3.664159341
